rowid,track_id,year,period,rank,top_20,word_count,mtld,avg_word_length,repetition_score,hapax_ratio,compression_ratio,ttr,song,artist
17,/wiki/Music_(Madonna_song),2000,2000-2005,17,top20,258,23.65,3.8449612403100777,0.15315315315315314,0.06976744186046512,0.2256,0.24031007751937986,Music,Madonna
18,/wiki/Doesn%27t_Really_Matter,2000,2000-2005,18,top20,772,20.201532342263057,4.058290155440415,0.195,0.04792746113989637,0.15964240102171137,0.13860103626943004,Doesn't Really Matter,Janet Jackson
19,/wiki/What_a_Girl_Wants_(Christina_Aguilera_song),2000,2000-2005,19,top20,568,21.967521367521368,3.7992957746478875,0.2012987012987013,0.12852112676056338,0.2752932551319648,0.24471830985915494,What a Girl Wants,Christina Aguilera
20,/wiki/Back_at_One_(song),2000,2000-2005,20,top20,310,92.59164812318288,3.7870967741935484,0.05970149253731343,0.18387096774193548,0.33400673400673403,0.3774193548387097,Back at One,Brian McKnight
21,/wiki/Bye_Bye_Bye,2000,2000-2005,21,other,428,25.529824561403508,3.5023364485981308,0.3586206896551724,0.102803738317757,0.27385892116182575,0.23598130841121495,Bye Bye Bye,NSYNC
22,/wiki/You_Sang_to_Me,2000,2000-2005,22,other,418,30.416384383016865,3.3373205741626792,0.09782608695652174,0.08373205741626795,0.23956043956043957,0.215311004784689,You Sang to Me,Marc Anthony
23,/wiki/I_Need_to_Know_(Marc_Anthony_song),2000,2000-2005,23,other,357,23.8,3.5994397759103642,0.24074074074074073,0.09243697478991597,0.18879415347137637,0.19887955182072828,I Need to Know,Marc Anthony
24,/wiki/Get_It_On_Tonite,2000,2000-2005,24,other,329,30.396092106370446,3.7841945288753798,0.23529411764705882,0.13069908814589665,0.33354390397978523,0.3130699088145897,Get It On Tonite,Montell Jordan
25,/wiki/Incomplete_(Sisq%C3%B3_song),2000,2000-2005,25,other,466,30.37641951122327,4.017167381974249,0.07746478873239436,0.16523605150214593,0.28449380606578384,0.2939914163090129,Incomplete,Sisqó
26,/wiki/I_Try,2000,2000-2005,26,other,389,35.03097528109049,3.596401028277635,0.12844036697247707,0.10025706940874037,0.2327923894795747,0.2236503856041131,I Try,Macy Gray
27,/wiki/It%27s_Gonna_Be_Me_(%27N_Sync_song),2000,2000-2005,27,other,313,41.40587107778566,3.7667731629392973,0.15476190476190477,0.13738019169329074,0.28313253012048195,0.3035143769968051,It's Gonna Be Me,'N Sync
28,/wiki/That%27s_the_Way_It_Is_(Celine_Dion_song),2000,2000-2005,28,other,349,34.54794627607454,3.7765042979942693,0.11392405063291139,0.11174785100286533,0.24805272618334331,0.2664756446991404,That's the Way It Is,Celine Dion
29,/wiki/Country_Grammar_(Hot_Shit),2000,2000-2005,29,other,824,69.96944763495875,3.8907766990291264,0.04092071611253197,0.25,0.3166830708661417,0.3446601941747573,Country Grammar (Hot Shit),Nelly
30,/wiki/Bring_It_All_to_Me,2000,2000-2005,30,other,401,22.279834061493652,3.4987531172069826,0.16666666666666666,0.14214463840399003,0.259567387687188,0.2518703241895262,Bring It All to Me,Blaque
